,Group,Point,m_distance,rank,measures
1387,ST61,L0808,3758.940858358216,46.0,2.0
1388,ST61,L0804,1528.969665359701,81.5,2.0
1389,ST62,L0742,6890.865724254221,54.5,2.0
1390,ST62,R078,1748.8713863429718,100.5,2.0
1391,ST62,R083,2623.313258103248,76.5,2.0
1394,ST62,F0903,5571.684385146487,75.0,2.0
1398,ST62,R067,9547.172397652734,25.0,2.0
1399,ST62,R068,8816.156721047133,29.0,2.0
1401,ST62,R079,7663.862747987186,32.0,2.0
1403,ST63,L0742,4870.894755002668,90.0,2.0
1406,ST63,L0807,1274.573439840793,93.0,2.0
1407,ST63,L0806,1343.8478139392957,103.0,2.0
1408,ST63,L0804,1160.7015483369846,135.0,2.0
1409,ST63,L0803,1152.1812595903768,127.5,2.0
1410,ST63,R083,4631.15037562948,28.5,2.0
1412,ST63,R079,9964.097340734097,38.0,2.0
1413,ST63,L0808,4202.031289860065,59.0,2.0
1414,ST64,L1021,5575.640312069996,126.5,2.0
1415,ST64,L1017,7901.487408355732,85.0,2.0
1416,ST64,L1005,1262.2185206137547,89.0,2.0
1417,ST64,L1004,1343.4191903246654,121.5,2.0
1418,ST64,L1002,1785.74446144238,72.5,2.0
1420,ST64,L1063,8261.649453496055,44.0,2.0
1421,ST64,L0826,11930.600613331499,50.5,2.0
1422,ST64,L0907,10442.393422178511,39.5,2.0
1425,ST64,L0835,11834.050404841471,77.0,2.0
1430,ST64,R108,12934.861386840252,24.0,2.0
1432,ST65,L0907,11348.291639052624,34.0,2.0
1433,ST65,L0826,12982.268099209483,39.5,2.0
1434,ST65,L1063,8918.585747903062,14.5,2.0
1435,ST65,L0835,13245.436358474652,60.5,2.0
1442,ST65,R103,10038.843067699552,17.5,2.0
1443,ST65,R108,11524.890475957285,20.0,2.0
1453,ST66,L0835,14462.950302866073,47.0,2.0
1458,ST66,R103,8777.408619505286,25.5,2.0
1459,ST66,R108,10372.888740288096,25.0,2.0
1460,ST66,R107,9635.94853712459,20.5,2.0
1464,ST67,F0904,3766.562899204521,38.0,2.0
1465,ST67,F0903,4812.858314355042,30.5,2.0
1468,ST67,R085,1937.3119344835736,69.5,2.0
1470,ST67,F1001,4240.3865469836555,39.0,2.0
1473,ST67,R098,10698.304497126985,21.0,2.0
1474,ST67,R079,8965.481077069411,40.5,2.0
1476,ST67,L0823,5032.712712798531,37.5,2.0
1477,ST67,L0824,8450.300664318405,46.5,2.0
1478,ST68,F1001,5550.4782386188335,64.0,2.0
1482,ST68,F0904,5120.185125460751,70.5,2.0
1483,ST68,R079,10357.104466592671,37.5,2.0
1484,ST68,R098,12110.278538278933,21.0,2.0
1485,ST68,R103,15992.587119507041,24.0,2.0
1486,ST68,L0901,1408.8748310845717,56.0,2.0
1487,ST68,L0902,1353.7711982129008,93.0,2.0
1488,ST68,L0906,2726.3918763384763,25.5,2.0
1489,ST68,L1063,3251.720526339946,60.5,2.0
1490,ST68,L0823,3664.1033683139503,43.0,2.0
1491,ST68,L0824,7039.4890931541795,76.0,2.0
1493,ST69,F1001,6813.699013377491,41.5,2.0
1496,ST69,R098,13371.28162618091,47.0,2.0
1497,ST69,R103,17255.433299530403,49.0,2.0
1498,ST69,L0901,1931.172000150552,70.5,2.0
1499,ST69,L0902,1898.901361198071,90.0,2.0
1500,ST69,L0904,1604.6242967743408,103.5,2.0
1501,ST69,L0905,1623.977736583433,80.0,2.0
1502,ST69,L0906,3099.999171547807,64.5,2.0
1503,ST69,L1063,3571.6922206483023,60.0,2.0
1504,ST69,L0835,13618.524885306719,60.0,2.0
1505,ST69,L0826,6046.494063393517,87.5,2.0
1506,ST69,L0907,4183.649954303642,88.0,2.0
1507,ST69,L0823,2669.234191071627,68.0,2.0
1508,ST69,L0824,5830.5958006045275,97.0,2.0
1510,ST70,L1102,2869.6010169625074,44.5,2.0
1511,ST70,L1103,2521.172076220568,40.0,2.0
1512,ST70,L1104,2380.877169972531,118.5,2.0
1513,ST70,L1105,2332.0443679598025,76.5,2.0
1515,ST70,L1026,6203.660819474209,159.0,2.0
1516,ST70,L1027,10855.58309258967,117.5,2.0
1517,ST70,L1046,7077.256231422261,99.5,2.0
1520,ST70,L1044,12468.819121890907,60.5,2.0
1522,ST70,F1201,7664.546162074065,21.5,2.0
1523,ST70,F1202,7918.901427550364,71.0,2.0
1525,ST71,R103,8886.640739003127,56.0,2.0
1528,ST71,F1202,6045.472765854,39.0,2.0
1529,ST71,F1201,5794.260504076043,41.5,2.0
1532,ST71,L1102,1637.0903800322474,45.5,2.0
1533,ST71,L1103,1024.1418710817736,173.0,2.0
1534,ST71,L1119,3276.444171495275,91.5,2.0
1538,ST72,F1201,5106.806536450717,83.0,2.0
1539,ST72,F1202,5357.827247879795,82.0,2.0
1541,ST72,F1104,4864.325869076296,59.5,2.0
1542,ST72,R098,11536.734607147091,46.0,2.0
1546,ST73,L1205,2041.546041086977,74.0,2.0
1547,ST73,L1204,2104.553792948023,49.0,2.0
1551,ST73,R004,6222.778807316359,40.5,2.0
1552,ST73,F0101,7711.571761124493,80.0,2.0
1553,ST73,F0102,7965.123526592158,68.0,2.0
1555,ST74,F0102,6646.27357245845,27.5,2.0
1556,ST74,F0101,6392.914081578279,15.5,2.0
1557,ST74,R004,4904.663099069732,16.0,2.0
1563,ST74,L1204,1007.5512158156164,66.0,1.0
1571,ST75,R004,3508.462868047882,39.0,2.0
1572,ST75,F0101,4991.6731607967995,54.5,2.0
1573,ST75,F0102,5242.879300630542,48.0,2.0
1581,ST75,R108,10229.591048968508,49.5,2.0
1582,ST75,R107,10926.084672626841,69.5,2.0
1585,ST76,L0105,6057.400508948407,44.5,2.0
1587,ST76,L0103,9028.899612446356,24.5,2.0
1588,ST76,L0101,11856.746066003792,36.5,2.0
1589,ST76,L0102,11940.085892172134,29.0,2.0
1591,ST76,L0201,2081.9122851421243,51.5,2.0
1592,ST76,L0205,2093.4814986915053,56.0,2.0
1593,ST76,L0204,2116.7986343210027,53.0,2.0
1594,ST76,L0202,2033.7244350407989,53.5,2.0
1595,ST76,L0111,2930.6142853501474,73.5,2.0
1596,ST76,L1233,4917.421761108177,53.5,2.0
1597,ST76,R024,6107.456040559271,37.5,2.0
1599,ST76,F0302,7821.579760050221,23.0,2.0
1600,ST76,R027,13335.008325394583,38.0,2.0
1601,ST76,R028,14056.676316363495,11.0,2.0
1602,ST76,R020,11743.760009580357,22.0,2.0
1604,ST77,F0302,6514.551908284341,57.5,2.0
1605,ST77,R024,4824.436841249744,42.5,2.0
1608,ST77,L0105,5616.855806457051,49.0,2.0
1610,ST77,L0103,8670.798043644243,19.0,2.0
1611,ST77,L0101,11538.992081168864,54.5,2.0
1612,ST77,L0102,11623.98165706726,27.5,2.0
1613,ST77,L0110,2447.1466747605455,41.5,2.0
1614,ST77,L0111,3946.9058201419302,43.5,2.0
1615,ST77,L1233,6022.083258011896,43.0,2.0
1616,ST77,L0211,3533.8943703451064,69.0,2.0
1617,ST77,L0205,1367.886089108256,45.5,2.0
1618,ST77,L0204,1404.3211115840184,57.5,2.0
1620,ST77,L0201,1012.5172356999968,159.5,2.0
1621,ST77,R028,12759.151565195032,43.5,2.0
1622,ST77,R027,12029.566199447745,22.5,2.0
1623,ST77,R020,10394.864350524322,28.5,2.0
1625,ST78,F0302,4765.946122929046,30.0,2.0
1626,ST78,R024,3158.2149844922783,32.0,2.0
1628,ST78,R027,10262.480817279156,39.0,2.0
1629,ST78,R028,11004.772916399043,44.5,2.0
1630,ST78,R029,10268.186521802016,26.0,2.0
1631,ST78,R020,8552.980670310306,36.5,2.0
1640,ST78,R004,15325.67567807006,64.5,2.0
1641,ST78,L0110,3737.1050365138744,27.5,2.0
1642,ST78,L0111,5569.522097000766,32.0,2.0
1643,ST78,L1233,7657.679222402812,56.5,2.0
1644,ST79,L0301,1232.1221099745248,75.0,2.0
1645,ST79,L0302,1320.8365408327716,75.0,2.0
1646,ST79,L0304,1577.933769322056,80.5,2.0
1647,ST79,L0305,1555.8901494893062,51.0,2.0
1649,ST79,L0210,5982.585155921421,36.0,2.0
1650,ST79,L0209,5996.297048713399,35.0,2.0
1652,ST79,R033,4903.041664414334,45.5,2.0
1654,ST79,F0402,6599.9496002341275,20.5,2.0
1655,ST79,R028,8511.375891122052,52.5,2.0
1656,ST79,R035,11448.618966238539,27.5,2.0
1659,ST80,F0402,5596.8709823829395,14.5,2.0
1662,ST80,R033,3873.737031028954,38.5,2.0
1663,ST80,R027,7697.2434134384,57.5,2.0
1664,ST80,R020,9581.03724589732,53.0,2.0
1665,ST80,R028,7764.567626098406,47.0,2.0
1666,ST80,R035,10523.612934920793,10.5,2.0
1668,ST80,R046,17192.42406327834,25.0,2.0
1671,ST80,L0301,1329.5990809818932,57.5,2.0
1672,ST80,L0302,1365.4914635083308,63.5,2.0
1673,ST80,L0210,6578.885174534099,26.5,2.0
1674,ST80,L0209,6592.565525377871,24.5,2.0
1679,ST81,F0402,5861.570377509205,29.5,2.0
1680,ST81,R033,4199.971224202916,40.5,2.0
1681,ST81,R028,7703.116633110838,56.5,2.0
1682,ST81,R035,10663.34896499336,20.0,2.0
1684,ST81,R046,17500.56608934589,30.5,2.0
1686,ST81,L0305,1465.0849605919213,24.5,2.0
1687,ST81,L0304,1486.9616604838207,29.0,2.0
1689,ST81,L0210,5835.28599777046,31.0,2.0
1690,ST81,L0209,5849.787630462471,33.5,2.0
1695,ST82,F0402,10714.786099603085,35.0,2.0
1696,ST82,R033,9041.840286649307,39.5,2.0
1697,ST82,L0301,4912.878777019342,20.5,2.0
1698,ST82,L0302,4968.5227528544565,44.5,2.0
1699,ST82,L0211,6609.606946020498,26.5,2.0
1700,ST82,L0111,9318.724267013027,31.5,2.0
1702,ST82,R046,22355.768146449114,28.5,2.0
1706,ST83,R046,12377.258059251591,52.5,2.0
1708,ST83,L0404,1592.0822688966548,48.0,2.0
1710,ST83,L0402,1600.1048005148534,70.0,2.0
1712,ST83,L0412,3738.408370267143,41.5,2.0
1719,ST84,R046,11222.855815165274,42.5,2.0
1721,ST84,L0402,1372.8829541204911,82.5,2.0
1722,ST84,L0412,3249.8492036820385,43.5,2.0
1738,ST86,R046,11431.005886357814,36.0,2.0
1739,ST86,R048,11445.794147056376,30.5,2.0
1741,ST86,F0704,23745.893617944952,49.5,2.0
1742,ST86,F0705,23968.030320663245,46.5,2.0
1746,ST86,L0404,1410.0572463104288,37.0,2.0
1747,ST86,L0412,3903.7800737768334,28.5,2.0
1748,ST100,L0412,7196.273580825627,89.5,2.0
1750,ST100,L0411,9376.530666296352,86.0,2.0
1751,ST100,L0612,13540.581323159373,101.0,2.0
1752,ST100,L0613,13726.18735581504,151.5,2.0
1753,ST100,L0615,15369.889342188682,113.5,2.0
1754,ST100,L0616,15348.626825402125,75.0,2.0
1755,ST100,L0607,19872.62520452083,77.5,2.0
1756,ST100,L0608,21164.68906080535,76.5,2.0
1757,ST100,L0609,21150.407475394913,80.0,2.0
1758,ST101,L0412,7045.5182061277965,91.5,2.0
1760,ST101,L0404,8775.619954299485,99.0,2.0
1762,ST101,L0402,10636.197839259474,57.0,2.0
1764,ST101,L0411,13368.311264181722,43.0,2.0
1765,ST101,L0612,18140.771940334605,124.0,2.0
1766,ST101,L0613,18322.984748660787,153.5,2.0
1767,ST101,L0615,19975.436576278997,118.5,2.0
1768,ST101,L0616,19956.495898157813,85.0,2.0
1769,ST101,L0606,24367.90108154346,32.5,2.0
1770,ST101,L0608,25693.51322935428,50.5,2.0
1771,ST101,L0609,25675.18973273705,43.5,2.0
1772,ST102,L0301,3712.336387884902,36.0,2.0
1773,ST102,L0302,3666.775578988609,43.5,2.0
1774,ST102,L0304,1959.325062177203,96.5,2.0
1775,ST102,L0305,1881.6856743816509,76.5,2.0
1777,ST102,L0412,12068.449581665624,44.5,2.0
1779,ST102,L0402,8391.100522995137,64.5,2.0
1781,ST102,L0404,10098.152209273345,69.0,2.0
1783,ST102,L0209,8750.312263180786,117.5,2.0
1784,ST102,L0210,8730.907972675099,109.5,2.0
1785,ST102,L0211,10813.0263786981,84.5,2.0
1786,ST103,L0301,8613.608956928645,58.0,2.0
1787,ST103,L0302,8667.298989380386,80.0,2.0
1788,ST103,L0304,8913.377315110976,92.5,2.0
1789,ST103,L0305,8881.704809267672,50.0,2.0
1790,ST103,L0211,8114.839947912285,41.0,2.0
1791,ST103,L0111,9673.569343715717,102.0,2.0
1792,ST103,L0205,9809.615444530142,40.5,2.0
1793,ST103,L0204,9843.370030707767,86.5,2.0
1794,ST103,L0201,11848.574331382497,52.0,2.0
1795,ST103,L0202,11669.715527520444,67.5,2.0
1796,ST103,L0110,12069.454939200505,72.0,2.0
1800,ST103,L0105,16619.652017149223,49.5,2.0
1801,ST103,L0103,19675.398198692223,75.5,2.0
1802,ST103,L0102,22572.44831359728,83.5,2.0
1803,ST103,L0101,22543.40263212821,99.0,2.0
1806,ST103,L0402,16838.409729432697,57.5,2.0
1808,ST103,L0404,18501.826987690718,65.5,2.0
1810,ST030,L0708,4290.155878277812,112.5,2.0
1811,ST030,L0706,7557.607565942917,199.5,2.0
1812,ST030,L0707,7603.118411390376,136.0,1.0
1813,ST030,L0703,9518.011368824988,145.5,2.0
1814,ST030,L0704,9350.484069184222,191.5,2.0
1815,ST030,L0726,2239.6283502977235,38.5,2.0
1819,ST030,L0610,13490.252109789519,74.0,2.0
1820,ST030,L0608,13780.643519530538,87.5,2.0
1821,ST030,L0606,15041.421025744183,80.0,2.0
1822,ST030,L0609,13839.227667907187,80.5,2.0
1823,ST030,L0611,13551.428482897263,70.0,2.0
1834,ST031,L0720,4339.366399017576,21.5,2.0
1835,ST031,L0722,5090.7844744921595,21.0,2.0
1840,ST031,L0606,14725.512353629782,19.0,2.0
1841,ST031,L0608,13579.02018517846,28.0,2.0
1842,ST031,L0609,13635.140773294643,31.5,2.0
1843,ST031,L0610,13344.920686075213,19.0,2.0
1844,ST031,L0611,13397.05807314843,20.5,2.0
1855,ST032,L0720,2339.565744469557,47.5,2.0
1856,ST032,L0722,2179.0936006470647,45.0,2.0
1858,ST032,L0606,18139.179070685113,35.5,2.0
1859,ST032,L0608,16963.340503506195,35.5,2.0
1860,ST032,L0609,17015.120542299814,18.5,2.0
1861,ST032,L0611,16762.362712497452,22.5,2.0
1862,ST032,L0610,16713.09652223068,39.0,2.0
1875,ST033,L0720,6552.646174302288,81.5,2.0
1877,ST033,L0722,7104.644901743152,73.5,2.0
1880,ST034,L1017,3086.36934740836,26.0,2.0
1882,ST034,L1021,1906.3052889619164,136.0,2.0
1884,ST034,L1005,4970.162043947051,104.0,2.0
1885,ST034,L1004,4975.388600645769,108.0,2.0
1886,ST034,L1002,6781.463873729411,37.5,2.0
1888,ST034,L1063,13382.626738561217,67.5,2.0
1889,ST034,L0907,15179.80196314927,77.5,2.0
1892,ST035,L1021,4669.436328979752,19.5,2.0
1895,ST035,L1005,8894.406591362225,56.5,2.0
1896,ST035,L1004,8883.945444846673,57.5,2.0
1897,ST035,L1002,10694.525951327447,15.5,2.0
1899,ST035,L1063,17089.513898759506,58.5,2.0
1900,ST035,L0907,18636.37737858909,63.0,2.0
1906,ST035,L1062,6826.287333457685,71.5,2.0
1911,ST036,L1019,4106.781003447238,144.0,2.0
1913,ST036,L1021,2909.5935004245644,37.0,2.0
1925,ST037,L1017,4187.035341174249,50.5,2.0
1929,ST038,L1046,2178.7295558040682,42.5,2.0
1931,ST038,L1044,7021.378202588371,68.0,2.0
1934,ST038,L1119,3552.574804645229,52.5,2.0
1935,ST038,L1105,5268.881839939738,99.0,2.0
1936,ST038,L1104,5284.401866072124,113.5,2.0
1937,ST038,L1103,6574.054786238502,102.5,2.0
1938,ST038,L1102,7319.5906733495385,78.0,2.0
1940,ST038,L1026,3144.343090080644,77.0,2.0
1942,ST038,L1062,5457.73336036963,67.5,2.0
1944,ST039,L1044,6385.867028689444,12.5,2.0
1945,ST039,L1046,2470.143447279665,28.5,2.0
1946,ST039,L1026,4238.084457672274,25.0,2.0
1978,ST042,L1062,2323.3824305717094,49.5,2.0
1979,ST042,L1026,2278.0074664067292,23.5,2.0
1980,ST042,L1119,5879.084348934898,53.5,2.0
1984,ST042,L1046,4281.351833713157,45.0,2.0
1986,ST042,L1105,6879.2747179664075,63.5,2.0
1987,ST042,L1104,6895.871778737295,95.0,2.0
1988,ST042,L1103,7788.0623415616155,121.5,2.0
1989,ST042,L1102,8351.58455688523,101.0,2.0
1992,ST042,L1027,5482.486523588971,66.0,2.0
1994,ST043,L1044,6851.131792864486,18.0,2.0
1996,ST043,L1124,3680.388623324996,23.0,2.0
2000,ST043,L1046,12210.113610131417,35.5,2.0
2002,ST043,L1205,13110.202231494113,164.0,2.0
2003,ST043,L1204,13167.067724784147,159.0,2.0
2021,ST045,L0730,3035.6445276229783,59.0,2.0
2022,ST045,L0729,2445.211509118869,53.5,2.0
2023,ST045,L0742,2900.874723659912,109.5,2.0
2024,ST045,L0803,8065.616603545171,119.5,2.0
2025,ST045,L0804,7970.862926083986,179.0,2.0
2026,ST045,L0806,6979.33001184203,185.5,2.0
2027,ST045,L0807,6969.345879360048,118.5,2.0
2028,ST045,L0808,6319.5453450582945,58.0,2.0
2031,ST045,L0820,6985.483585329995,27.0,2.0
2032,ST045,L0821,8123.5228938186065,30.5,2.0
2033,ST045,L0824,10282.455432221484,27.0,2.0
2035,ST045,L0733,4984.200300747643,35.5,2.0
2038,ST046,L0730,2259.718337965026,35.0,2.0
2043,ST046,L0729,3544.1135407997176,29.5,2.0
2044,ST046,L0742,4327.4093220085715,70.5,2.0
2045,ST046,L0808,8403.369722753852,65.5,2.0
2046,ST046,L0820,9775.131003680848,13.0,2.0
2049,ST046,L0821,11053.133604551727,10.0,2.0
2054,ST047,L0733,2786.6164884434224,36.0,2.0
2056,ST047,L0803,13021.49983930439,47.0,2.0
2057,ST047,L0804,12902.267989521817,94.0,2.0
2058,ST047,L0806,11763.24051300882,89.5,2.0
2063,ST048,L0730,5703.659055215486,11.0,2.0
2066,ST049,L0741,4896.583565766967,20.5,2.0
2068,ST049,L0738,5800.596473015912,16.0,2.0
2070,ST050,L0741,9899.001208051446,25.0,2.0
2074,ST050,L0738,1833.5428277233725,38.0,2.0
2076,ST050,L0820,8735.580194613793,26.5,2.0
2077,ST050,L0828,5320.7825469382105,22.5,2.0
2079,ST050,L0821,7639.9279563300615,14.5,2.0
2080,ST050,L0733,4691.260985533723,30.5,2.0
2081,ST051,L0803,12495.59470608337,172.5,2.0
2082,ST051,L0804,12323.055113924982,200.0,1.0
2083,ST051,L0806,10606.173330055437,185.5,2.0
2084,ST051,L0807,10617.42324965813,167.5,2.0
2085,ST051,L0808,8190.925363360556,119.5,2.0
2087,ST051,L0820,5301.5440749544605,161.5,2.0
2088,ST051,L0821,4238.088491503354,125.5,2.0
2090,ST051,L0733,4677.9747685073835,110.5,2.0
2091,ST051,L0738,4283.0074043540235,81.5,2.0
2092,ST051,L0741,13350.715931548784,118.0,2.0
2093,ST051,L0822,6050.277777704765,92.0,2.0
2094,ST051,L0828,5431.4083118064345,70.0,2.0
2095,ST052,L0905,7556.134234005481,52.75,4.0
2096,ST052,L0902,8213.862939703604,146.0,2.0
2097,ST052,L0901,8233.089849120217,89.5,2.0
2098,ST052,L0904,7598.328340698496,110.5,2.0
2099,ST052,L0823,4761.8138748835245,69.0,2.0
2100,ST052,L0824,2792.046418544783,98.0,2.0
2101,ST052,L0821,4968.404427078175,48.0,2.0
2102,ST052,L0825,2339.9192738390116,62.5,2.0
2103,ST053,L0822,6930.277759808331,71.5,2.0
2106,ST053,L0828,4087.6730378806574,49.5,2.0
2107,ST053,L0738,8178.973310174508,18.5,2.0
2113,ST054,L0828,7046.042073579698,38.0,2.0
2121,ST055,L0828,14187.244341564794,53.0,2.0
2128,ST056,L0835,2696.272145896923,64.5,2.0
2130,ST056,L0901,13210.561197468045,54.5,2.0
2131,ST056,L0902,13100.473216729351,67.5,2.0
2132,ST056,L0904,11468.88217156881,83.0,2.0
2133,ST056,L0905,11436.259584803454,46.0,2.0
2134,ST056,L0906,10245.126813705774,42.0,2.0
2135,ST056,L1063,9647.779202188742,35.5,2.0
2137,ST056,L1002,12172.097249800478,90.5,2.0
2138,ST056,L1004,12560.870951158095,78.5,2.0
2139,ST056,L1005,12535.352609051006,49.0,2.0
2141,ST056,L1021,14543.535071732696,32.0,2.0
2143,ST057,L0907,3506.9359405855985,68.5,2.0
2144,ST057,L1063,4088.767043735882,83.5,2.0
2145,ST057,L0906,4680.018996632772,69.5,2.0
2146,ST057,L0905,5798.516471643882,83.5,2.0
2147,ST057,L0904,5854.055059478958,132.0,2.0
2148,ST057,L0902,7571.155556690594,125.0,2.0
2149,ST057,L0901,7668.869701101338,82.5,2.0
2150,ST057,L0823,6149.688278390621,60.0,2.0
2151,ST057,L0826,4185.316896348291,76.5,2.0
2152,ST057,L0835,7659.34769325639,43.0,2.0
2157,ST057,L1002,8126.517060156325,100.0,2.0
2158,ST057,L1004,9216.58017002865,85.5,2.0
2159,ST057,L1005,9173.08429617847,74.0,2.0
2161,ST057,L1021,12782.747869233002,42.5,2.0
2162,ST057,L1017,15031.380616590142,51.0,2.0
2166,ST058,L0825,4001.458210174434,79.0,2.0
2170,ST058,L0835,5779.669882681196,45.0,2.0
2172,ST058,L0907,5280.702836381821,59.5,2.0
2173,ST058,L0826,3700.909921721058,45.0,2.0
2174,ST058,L0823,7808.8991556134715,29.5,2.0
2175,ST058,L0901,10646.763191475573,78.0,2.0
2176,ST058,L0902,10556.206611255142,109.5,2.0
2177,ST059,L1021,6907.947771424439,37.0,2.0
2179,ST059,L1005,11359.349554338172,46.0,2.0
2180,ST059,L1004,11340.106127141247,54.5,2.0
2181,ST059,L1002,13176.80998675066,47.0,2.0
2183,ST059,L1063,19777.392449419745,55.5,2.0
2184,ST059,L0835,17420.145060626553,67.0,2.0
2186,ST059,L1061,13153.98832856046,64.5,2.0
2187,ST059,L1062,4948.466887657562,66.5,2.0
2188,ST059,L1105,9165.843818594123,62.5,2.0
2189,ST059,L1104,9190.699451188182,92.5,2.0
2197,ST060,L1041,14773.897948672146,52.5,2.0
2199,ST061,L1027,15264.749004150039,33.5,2.0
2205,ST061,L1041,8653.233864071717,94.5,2.0
2211,ST062,L1027,4654.936731161991,19.0,2.0
2214,ST062,L1062,9565.739025237035,20.5,2.0
2216,ST062,L1061,6680.01579921163,27.5,2.0
2224,ST063,L1027,7531.424890503353,16.0,2.0
2225,ST063,L1026,12268.542804200353,17.5,2.0
2227,ST063,L1102,20492.492170098238,30.0,2.0
2228,ST063,L1103,19857.164718262495,36.5,2.0
2234,ST064,L1061,4399.144354819202,17.5,2.0
2248,ST066,L1041,2119.4311142756683,56.0,2.0
2249,ST066,L1044,16659.92035579413,112.5,2.0
2259,ST067,L1124,9367.352613948979,53.0,2.0
2263,ST067,L1044,14711.753371263187,50.0,2.0
2266,ST067,L1041,8433.690705068315,14.5,2.0
2273,ST068,L1298,15385.652288729498,60.5,2.0
2275,ST069,L1298,8168.807166477534,21.0,2.0
2285,ST070,L1205,15391.726169806409,78.5,2.0
2295,ST071,L1298,3194.2424407275644,44.0,2.0
2298,ST071,L1229,7705.42283205028,27.5,2.0
2301,ST071,L0111,17459.10157234683,48.0,2.0
2302,ST071,L1233,16859.3353725148,33.5,2.0
2308,ST072,L1298,8877.79195485858,16.5,2.0
2311,ST072,L1229,2046.3271639021568,30.0,2.0
2314,ST072,L1233,10380.39719951504,33.0,2.0
2315,ST072,L0111,11061.344921206388,49.5,2.0
2322,ST073,L1229,5269.999816131357,18.0,2.0
2324,ST073,L0101,10943.72612635861,49.5,2.0
2327,ST074,L1229,6812.606219282932,82.5,2.0
2329,ST074,L0105,9385.858303953592,81.5,2.0
2336,ST075,L1229,7963.9917404147145,22.5,2.0
2338,ST075,L1233,2123.1555169545168,51.5,2.0
2339,ST075,L0111,3020.9392777271023,71.0,2.0
2341,ST075,L0205,6171.890270009849,174.5,2.0
2342,ST075,L0211,6197.883153852368,61.5,2.0
2349,ST077,L0741,7285.360670164973,27.0,2.0
2354,ST078,L0730,8261.796826588063,25.5,2.0
